name,pan,aadhaar,sovereign_hash,account_number,bank,city,state,sector,risk_score,flags,crime_type,is_criminal,kyc_status
Mohan Dubey,QKWNN3444J,303480347115,f16261677a83adffa88075290fd9faecbc9ad05bde1e3033a7f690c94f228ebd,AXIS30218888414,Axis,Noida,Uttar Pradesh,Student,0,NONE,,False,VERIFIED
Prasad Shetty,RQEMH5177G,810088072580,36bcc5e4059e1cfad5639c244f7aa173e2ca7f0668d9e2c15c68f4e8ec96f303,AXIS39332076647,Axis,Bangalore,Karnataka,IT Professional,0,NONE,,False,VERIFIED
Keerthi Deshpande,BCGZY4555P,468967896485,dff1bbdfe6b86f64e340576f770f5fcf5a937ca55217525b1ac22dd2d9c976ca,AXIS39794874320,Axis,Lucknow,Uttar Pradesh,Salaried,0,NONE,,False,VERIFIED
Swathi Pandey,WTWGM4921R,951784850549,31dec58ba9302ae25fba892c312444e75add8bc53f4636f4d47bf47dee2b612d,AXIS45684401997,Axis,Lucknow,Uttar Pradesh,Retailer,0,NONE,,False,VERIFIED
Reshma Swamy,DZXPY6246G,445189549205,f6351916fb2bcbdf6e6d0700dbeebb4f7c2ae307361b11fabf7bf73fe343b5dc,AXIS44429402313,Axis,Indore,Madhya Pradesh,Student,0,NONE,,False,VERIFIED
Nalini Chettiar,EGKHM5026P,819624530104,87d20aeaa7866818a989b5a18d5c93153934073d3e4f02f60c4abc905e4d2121,AXIS33454081960,Axis,Chandigarh,Punjab,Teacher,0,NONE,,False,VERIFIED
Smitha Desai,FRUBQ1554C,154409571483,3d6b9d8cb17ba34abdf1f0b7ac4de6ace599066b9f2ca2db8fa04a10cdfc40b2,AXIS10648667392,Axis,Noida,Uttar Pradesh,Trader,0,NONE,,False,VERIFIED
Sudha Singh,TUVTP8993A,684143952105,85f776c7c95400721aa55a5ab7cb6a48e27a3ed9919917b929bbc83bb9c62b13,AXIS11231317910,Axis,Patna,Bihar,Salaried,0,NONE,,False,VERIFIED
Revathi Shukla,FDDQE4948G,678187556104,16331c5fd80c67efd1731abd0d972a9c5e3920379c49a26ebdd89c6e307e4af8,AXIS57584025343,Axis,Jaipur,Rajasthan,Farmer,0,NONE,,False,VERIFIED
Padma Sen,HJVCU1519C,518352484747,c84af9f1ed5071fa0938d328ab2bf361570dc534f3ec5703a0be6156b1f6aaf0,AXIS34493533425,Axis,Nagpur,Maharashtra,Salaried,0,NONE,,False,VERIFIED
Revathi Ghosh,ZKSDQ1697H,863937745035,9b296b3a87560512a37bc2b6051e420cd8c68732299ec65541c2f341651013bf,AXIS89641710419,Axis,Visakhapatnam,Andhra Pradesh,Salaried,0,NONE,,False,VERIFIED
Harish Patel,GSEYW7525C,277379043591,87ea79f20556ba19bb6ad7d50045a3467005386e4f4a844b66d5ee08f3f0c506,AXIS30357050515,Axis,Visakhapatnam,Andhra Pradesh,Doctor,0,NONE,,False,VERIFIED
Aditya Trivedi,LBDNH2245K,944412769960,4e6ee48387a2b4cd407ee463d173713358d4ef762804c66e00b8a411325726c0,AXIS96026587167,Axis,Vadodara,Gujarat,Doctor,0,NONE,,False,VERIFIED
Saritha Subramaniam,RMNFV7227C,781921266516,4807a0b0289346ed140035d989759a8f7729f26a11acb7c958b128aef8ec72fe,AXIS28330800294,Axis,Lucknow,Uttar Pradesh,Small Business,0,NONE,,False,VERIFIED
Usha Trivedi,MKLDC1085J,497047117241,02d8451a80f407e7cda011a8eb1d94b507cdf4bdd8f552dcc7ab05b91c3be7f5,AXIS66639416446,Axis,Noida,Uttar Pradesh,Trader,0,NONE,,False,VERIFIED
Shruti Shetty,DACLR2524T,961562037738,bd4a7c22d34b58503c79a48374ae13ea1094bd164fd1960615117f53457a757b,AXIS63316908259,Axis,Surat,Gujarat,Salaried,0,NONE,,False,VERIFIED
Vidya Pandey,SQFVM3777E,431867479962,3afd169fcf8fdbc716260d00170e1daf683bba8a98c21f414050fdb448a18403,AXIS46226658737,Axis,Jaipur,Rajasthan,Small Business,0,NONE,,False,VERIFIED
Anita Bhat,IHXUP4203O,246488330909,70cd0b6c0faebd19318731358afbdf3aabd42b6ef891c0d62643152b249a4c1e,AXIS95219080589,Axis,Lucknow,Uttar Pradesh,Doctor,0,NONE,,False,VERIFIED
Ramesh Gowda,UTEJK4290P,294622935239,3b9d714f0a2ab4b2bc078fea48a465f4a27a3dc6b648baf5dece4931a186da17,AXIS91465922116,Axis,Nagpur,Maharashtra,Farmer,0,NONE,,False,VERIFIED
Savitha Srivastava,ZMLDS4273S,701283674383,2486994541fa23c4e302540255c869591f7edf7d3c9aeb54fbcaf5d9d088e086,AXIS38812217088,Axis,Kolkata,West Bengal,Retailer,0,NONE,,False,VERIFIED
Suresh Srivastava,ZZNVP3280U,363293661373,e0b62b20826d2c75d3865fd1b05eda1e71d9897aec8e54bcd989fc3141edd77d,AXIS70447219969,Axis,Jaipur,Rajasthan,Doctor,0,NONE,,False,VERIFIED
Hema Jadhav,QWNRB6890W,992904379972,8ce7837575e15c9d35cfa53f29c10d2f1f6f277fcdf70ca6cd9dbb109e62848f,AXIS43367403566,Axis,Patna,Bihar,Small Business,0,NONE,,False,VERIFIED
Sneha Ghosh,TBSUV7547Y,575866188934,7113bd0144fcf65489c914ab377003e0121528015f02e21ab6ac41b454c1f959,AXIS85242663481,Axis,Chennai,Tamil Nadu,Farmer,0,NONE,,False,VERIFIED
Dinesh Murthy,LMOYV9199E,628386473206,3eb97d944b411c1d60edcf66f128df761fef71438ebecf730aab097a6744af26,AXIS30315842667,Axis,Chennai,Tamil Nadu,Small Business,0,NONE,,False,VERIFIED
Kartik Dubey,GQPLP2599O,867605119048,4d0c26e192558127a8c2b9a4c767a31f4ceb49042fafd9b3e7b7c1a0e694676c,AXIS10494287462,Axis,Bhopal,Madhya Pradesh,Farmer,0,NONE,,False,VERIFIED
Sneha Trivedi,HQFRF6422R,355387577956,373ade4897ffe10f4b0e810e4fd4ad29d5fe4c31af99b1294000bbb01efbb520,AXIS11699013395,Axis,Nagpur,Maharashtra,Trader,0,NONE,,False,VERIFIED
Ananya Gowda,MAWGG5560Y,992080855332,dfe1bb55fff7ee8a2e8846922cbdb0239b6aaea71c6880ff88535efe430316ad,AXIS54520742073,Axis,Bangalore,Karnataka,Retailer,0,NONE,,False,VERIFIED
Kamala Das,PQUKT7367T,745931058066,08a8347cf7e5168c2fb33a68798301f461dd655670cd670c4a00f2e216928083,AXIS89948602225,Axis,Chennai,Tamil Nadu,Teacher,0,NONE,,False,VERIFIED
Harish Pillai,HJDFL3316Q,561229937700,0bae293cf2beb98fc768c9bad183145f21097efa87fedc94d6694df66dd0fb2c,AXIS75222315501,Axis,Vadodara,Gujarat,Doctor,0,NONE,,False,VERIFIED
Ajay Shinde,FPJEF6154O,158494920476,11aa78209a22ea11590676db063867f0a8cf307edaac50ad135cf43cdac6c1fb,AXIS81131453395,Axis,Kanpur,Uttar Pradesh,Teacher,0,NONE,,False,VERIFIED
Nikhil Shetty,WOPFC1505Z,343786881878,981e53d7f3eaa9b208e8a3143436b3b782415225033673e99f0630eb1e1b4124,AXIS89273591737,Axis,Lucknow,Uttar Pradesh,Student,0,NONE,,False,VERIFIED
Sanjay Pawar,DIYRL9880Y,933402371257,e9426b19ec3c9439f137334e49d02a0b1c84698a7d3f29f3ead9300755b8d8f6,AXIS99464472497,Axis,Bhubaneswar,Odisha,Student,0,NONE,,False,VERIFIED
Vikram Murthy,ILCOD4882G,910935793294,4fbcc4398f1a3ee0083156643d2c68e076e3c982d3d4c0406760d91c8d374b71,AXIS92317264252,Axis,Visakhapatnam,Andhra Pradesh,Manufacturer,0,NONE,,False,VERIFIED
Ashok Shukla,BSLRI9827F,420851467786,09f8f7426a0bbbdde378dbc3b9d36ac456c1507cc41521d14824dee634bd3138,AXIS29996922254,Axis,Lucknow,Uttar Pradesh,Retailer,0,NONE,,False,VERIFIED
Kiran Roy,KHYVM9019E,793969758420,bcb46f02e0217fb1aa08372e200a987fa46e263ca2705c3e04ca5d1dc840b615,AXIS96223685840,Axis,Jaipur,Rajasthan,Doctor,0,NONE,,False,VERIFIED
Savitha Sen,LOPKS1040Y,906797440309,1e2864b2c07d5dae648f85f845b4cc6b9ca4e0e0d6379ea50ad09ab1945c339a,AXIS22241113095,Axis,Bangalore,Karnataka,Teacher,0,NONE,,False,VERIFIED
Satish Srivastava,GPIKJ6533R,244216126870,23d21a6dcd5c21e5a7507a88f30da7ceca7ab646e30b30b1b2a30a6eef9ce5f4,AXIS23082225266,Axis,Visakhapatnam,Andhra Pradesh,IT Professional,0,NONE,,False,VERIFIED
Lakshmi Shah,OOANG3161U,273095194326,e74841d0e2f8588bb55a14800ae2d4670a74b6879397be4ccdee3f594de38c2d,AXIS57598633740,Axis,Jaipur,Rajasthan,IT Professional,0,NONE,,False,VERIFIED
Rohit Kamath,UJXWY4836N,201599535427,18779d972a2a6fc49f64cac695a46f9f9340b7e3ee844a6f0a253fd2d46b05b2,AXIS27514613470,Axis,Guwahati,Assam,Student,0,NONE,,False,VERIFIED
Pavithra Deshpande,VWMBM6431W,152560002879,6ccfe293882ca561686262b8fae9ac20d028fc81fc0e71ae059fe78ac84cccd4,AXIS53036572570,Axis,Bhubaneswar,Odisha,Real Estate,98,SHARED_IP,MULE_FARM,True,VERIFIED
Nikhil Sen,VDHEJ8259Y,455734202471,76ed779a99d3335bbb3496568bb7a92056f9eadbb438f0251d43de9e2fc19cc4,AXIS36153287899,Axis,Jaipur,Rajasthan,Technology Services,98,SHARED_IP,MULE_FARM,True,VERIFIED
Ajay Naik,SRLLF5237X,859482804431,f2fa2c74c9aa81bf5e51df0989b86d08d49c49964d890876d73c36ba0fbe2664,AXIS39914093359,Axis,Bangalore,Karnataka,Logistics,95,SHARED_IP,MULE_FARM,True,VERIFIED
Chitra Sharma,BRGXL1230K,308439202956,e04a5974a486a4055a04ee3c7e3f0b4d48c18b0883854f79b65039c7f0bf2112,AXIS41133458247,Axis,Mumbai,Maharashtra,Financial Advisory,99,DECEASED,GHOST_ID,True,COMPROMISED
Pavithra Naidu,XCLKF2865M,398313562175,526c220259df7c523877b09c1380bcb78b7c33898bd353f0bb1e4a3712c4f8de,AXIS97710704655,Axis,Nagpur,Maharashtra,Logistics,88,ZERO_RETENTION,PIPE_CHAIN,True,VERIFIED
Reshma Trivedi,UADMN1587R,102358361363,e482e53cee8b67eb1fb6018726b6a102e40b01b29e362c9706383c9c283b4e2c,AXIS85197738006,Axis,Bangalore,Karnataka,Technology Services,95,ZERO_RETENTION,PIPE_CHAIN,True,VERIFIED
Padma Naidu,MKJOZ3185E,763197691897,b980edd9ae4aeb16d0754ec6e3ab55104001fc5c2c74328da90fc59e9a47e2bf,AXIS98276960626,Axis,Guwahati,Assam,Technology Services,97,ZERO_RETENTION,PIPE_CHAIN,True,VERIFIED
Ananya Jadhav,XTGYX4170J,295201173737,f0ae060e2f5071683a63f20ec777132f76f0ffa61d2d9fc8326ee90c55d28ad1,AXIS25091857325,Axis,Chandigarh,Punjab,Import/Export,92,ZERO_RETENTION,PIPE_CHAIN,True,VERIFIED
Kavya Chettiar,UGKQC2572F,691731897295,a116d3b666b43587e9c588e2c76c636aaa03aaa8b0dd5ff8bb2aaa11a554f001,AXIS98778413373,Axis,Patna,Bihar,Consulting,86,CIRCULAR_FLOW,CIRCULAR_FLOW,True,VERIFIED
Kiran Pillai,BASTM9800R,194261558739,88c91c236906a68d320efe09601c917d0d5d2818e7f3f566bcfbc8ecb33d9591,AXIS37246635361,Axis,Lucknow,Uttar Pradesh,Financial Advisory,93,CIRCULAR_FLOW,CIRCULAR_FLOW,True,VERIFIED
Anita Mukherjee,CAQUA7637Y,334462420660,8a2d83af8766c48a46c916851f4097a1be5d238cea4a39d76238deab3a79af2b,AXIS97927016931,Axis,Delhi,Delhi,Technology Services,88,CIRCULAR_FLOW,CIRCULAR_FLOW,True,VERIFIED
