name,pan,aadhaar,sovereign_hash,account_number,bank,city,state,sector,risk_score,flags,crime_type,is_criminal,kyc_status
Venkat Pawar,BYYFP9502U,298763169017,99eedc933648f98cde5876b969acce5bcd22d616c12ada0b0cdcf4811779557e,HDFC59263319540,HDFC,Visakhapatnam,Andhra Pradesh,Teacher,0,NONE,,False,VERIFIED
Meena Shah,KNWPJ7561Y,141017352624,2712b7582c5da9091ba6b7c3d5914f199b01270b7c421ec9b1391fb9fd0e4a9e,HDFC64857675642,HDFC,Bhopal,Madhya Pradesh,Farmer,0,NONE,,False,VERIFIED
Smitha Swamy,NBGQL9167U,935122206857,4ac032d4c1fe67c62b5bfc54b729bc3b5b82ff1d99f399ec4b3d9b16e156efdf,HDFC52639029846,HDFC,Delhi,Delhi,Retailer,0,NONE,,False,VERIFIED
Lakshmi Patel,UTZHW3594J,115250737438,88fab14a55f994d06a326081f0cd86ecd7407b2146ddccd10ab2bfae9262003f,HDFC96403859171,HDFC,Patna,Bihar,Student,0,NONE,,False,VERIFIED
Manjula Patil,WINPP4993O,261281455424,72a2db66e32c648eb36c7e26cd3a20157344698cd32a85ef492fb87929bad154,HDFC44659570391,HDFC,Nagpur,Maharashtra,Manufacturer,0,NONE,,False,VERIFIED
Aditya Naidu,AJXJS9022E,690328426008,1327916ab8ff9fb84d90b26d09a79a18f9b9e4f17cc4504be3dba85d34550c93,HDFC43060504030,HDFC,Coimbatore,Tamil Nadu,Retailer,0,NONE,,False,VERIFIED
Prasad Kumar,KXPWZ7246M,830094678828,882430f71d921fc94d991115bba5082c82392a083292eec30877edbf41db3e43,HDFC79261700335,HDFC,Thiruvananthapuram,Kerala,Teacher,0,NONE,,False,VERIFIED
Arun Murthy,DQOAX3361N,821000167049,a1a91f3f5f8cb468b7e4235dae4e580e00545edf28565ae3cce5819ff1faa820,HDFC97606523797,HDFC,Hyderabad,Telangana,Farmer,0,NONE,,False,VERIFIED
Sachin Hegde,KUWYP9864B,175666412237,0a1151eca559abddbc80d06cc1ffaca3685a133b33f34550fa09b61f17b7d393,HDFC21797271712,HDFC,Ahmedabad,Gujarat,Farmer,0,NONE,,False,VERIFIED
Arun Murthy,FWJAB6314Z,422363577442,98ba1d5e333f13583fe0cadaedeb050759ba73ca86ab5aea8fd95fdd3b23ee27,HDFC68115916826,HDFC,Kanpur,Uttar Pradesh,Trader,0,NONE,,False,VERIFIED
Rekha Shah,FCTMT4945P,743870697885,a1cdc234a8ed43d21fd17a878f689e7cfb9d37e11142a690c7515bcb4dde2792,HDFC73585414880,HDFC,Hyderabad,Telangana,Farmer,0,NONE,,False,VERIFIED
Rahul Reddy,OLSJU7951W,599290370034,df52441bb00bb4c25f644986fc41bef518ffeb5bbf0b9b362b4f7a2ba23af35d,HDFC62558398288,HDFC,Lucknow,Uttar Pradesh,Teacher,0,NONE,,False,VERIFIED
Manjula Sen,JAVMI1132S,855334712984,118491d4a51935d2ee5a63824de5147d95e4c4bab4eabc646e9cb0cd03095e9d,HDFC52532781603,HDFC,Noida,Uttar Pradesh,Salaried,0,NONE,,False,VERIFIED
