name,pan,aadhaar,sovereign_hash,account_number,bank,city,state,sector,risk_score,flags,crime_type,is_criminal,kyc_status
Prakash Pandey,JDBHN8489C,649348422854,7c7796120aaf0f8bc0b4fa3cc9f1380828d04a5e5fc4faca73c997f9c24cacda,ICICI30265993586,ICICI,Vadodara,Gujarat,Retailer,0,NONE,,False,VERIFIED
Tarun Subramaniam,HSNFV2402Q,499323100384,9178dbb7ce33c3b35a19ba55ce993b746bb73903da54134ba645135def43e0ae,ICICI85194666452,ICICI,Bangalore,Karnataka,Retailer,0,NONE,,False,VERIFIED
Arjun Kumar,UMLIX1266L,176401111736,333cbeed858486eeae1026f5afd92db0cc2925f7f69fa2117cb614cce4634519,ICICI14867957151,ICICI,Kanpur,Uttar Pradesh,Small Business,0,NONE,,False,VERIFIED
Ajay Bajpai,YVOWP3986Z,169298664175,45f67d9b0bc092da5cce81bf2377c1048072617868accc5ab97af5d1dd284ba1,ICICI37030130043,ICICI,Guwahati,Assam,Teacher,0,NONE,,False,VERIFIED
Kavya Krishnamurthy,JQMRP5150B,811904963699,674956b545c388dcca1dc699f92cd1b0cbe734568d2b5600817393253eb4da8b,ICICI24058358297,ICICI,Pune,Maharashtra,Salaried,0,NONE,,False,VERIFIED
Hema Trivedi,OMKFP9151L,980143211604,f29e2efeeaba006ee4e0e81d5d34f3f3c4723d82737e39128e9ac594842552ce,ICICI66173563746,ICICI,Kochi,Kerala,Small Business,0,NONE,,False,VERIFIED
Manjula Krishnamurthy,DCKVJ6021O,888567255357,738275488797d06d519ccadc7856f70d210842d355172333a7f71bb464380421,ICICI16215374572,ICICI,Indore,Madhya Pradesh,Teacher,0,NONE,,False,VERIFIED
Savitha Banerjee,ZBCVU7655L,982671983350,1d3e61354ad3e17f7155929fda4f6ab454c718887f7cfb74cdc21d29c4aff391,ICICI95249385548,ICICI,Bhubaneswar,Odisha,Salaried,0,NONE,,False,VERIFIED
Ravi Reddy,HYULL7272S,761564057472,14f880331270a5b3474d0493e8e4370319f60ea2dfc1fd10223274f57c4f4e65,ICICI87639631734,ICICI,Hyderabad,Telangana,IT Professional,0,NONE,,False,VERIFIED
Girish Krishnamurthy,UIHDA4048P,527425461312,2c1517f1515a669b98a00ccaf38c554eee04b3fbc62a464e832ffc10962a15d6,ICICI51282698163,ICICI,Patna,Bihar,Farmer,0,NONE,,False,VERIFIED
Lakshmi Gupta,COFWO2438Z,831517059337,b05ab2cfdeb14693a462ff0d1f5500d74191be9ed69f3d61ab4f57ba2e020e08,ICICI52482946103,ICICI,Kanpur,Uttar Pradesh,Retailer,0,NONE,,False,VERIFIED
Ajay Dubey,LQHDG3275H,644560505739,85f49990837db905de46361c6aa8a0cb80b428f8b234e8d4a844b5c9816199f3,ICICI87236448247,ICICI,Mumbai,Maharashtra,Manufacturer,0,NONE,,False,VERIFIED
Pooja Reddy,JMWXP9612N,549980135389,0c6500b7b4b5b1ac049195f15ac153d3c48655b7770a1734e8c206ab28fe397f,ICICI72062167881,ICICI,Visakhapatnam,Andhra Pradesh,IT Professional,0,NONE,,False,VERIFIED
Ravi Bajpai,YRUSF3114N,163858482694,53d503ac8bef832d6ceec8ffe684a03ed29e0defe891ac47d37fba8889a0f7d5,ICICI53645315762,ICICI,Chennai,Tamil Nadu,Farmer,0,NONE,,False,VERIFIED
Vishal Chettiar,CIGUR5496E,433396932384,baad49f866faeb54b19d7c1eb8e8b801b3cdf989cfd22d6abe37ac429b758bf8,ICICI29673726942,ICICI,Vadodara,Gujarat,Retailer,0,NONE,,False,VERIFIED
Keerthi Venkataraman,SBACB5336U,942719005116,4809d5df110689487f52563f851fce63c300109a4e70daed7f4bffe2f3af11d0,ICICI99717558449,ICICI,Visakhapatnam,Andhra Pradesh,Salaried,0,NONE,,False,VERIFIED
Naveen Naik,HZZVM5873O,856227660834,9ddd2da1efa6aaef7a527402c58d1466c705186035a96614271991bcd305df62,ICICI37764567672,ICICI,Delhi,Delhi,Doctor,0,NONE,,False,VERIFIED
Harish Roy,KXLME7070Q,218376390592,544dd0c3c2e3cff61244cde9323148ef9f161f744da9ab30eb2c170e329cbc19,ICICI41995771245,ICICI,Surat,Gujarat,Small Business,0,NONE,,False,VERIFIED
Manjula Hegde,TNHFK6123G,275076273196,575af47c8f9aba8ec1e19be5d993a5725f782d2b5386adfc367cb72a1d70871e,ICICI12136189070,ICICI,Coimbatore,Tamil Nadu,Teacher,0,NONE,,False,VERIFIED
Kartik Pandey,GSLBB5609P,820879550108,218dd92cc14a17cbd01003da1fd50f677ff3c17defefb20d84bbc644bcc88a40,ICICI26523479518,ICICI,Chandigarh,Punjab,Retailer,0,NONE,,False,VERIFIED
Kamala Mukherjee,LYMLB7563B,716629664335,64e77ffc700da44729a30cdb8c273d2fbdc28beebbd0e74e1745318d1c3f816f,ICICI80378832294,ICICI,Pune,Maharashtra,Farmer,0,NONE,,False,VERIFIED
Pavithra Bose,TDEDM7114Z,473605408203,cdda98bb9cacecac780d904555b0a0f43cfe9457a6826435234700eea901efa2,ICICI81307035417,ICICI,Patna,Bihar,Trader,0,NONE,,False,VERIFIED
Kavya Kumar,EWKZP9508O,766359626153,4cd863db81000e3a542675ff4d5dfdcaeb19f866347cb1976f981d4699503c1a,ICICI62237548527,ICICI,Kochi,Kerala,Manufacturer,0,NONE,,False,VERIFIED
Naveen Kulkarni,KQQRP5911P,120683483751,4187685341d08d3b6049f43c260c4e0aed595980a37cf86cc624a8151e86fbf4,ICICI51161687268,ICICI,Kanpur,Uttar Pradesh,Small Business,0,NONE,,False,VERIFIED
Pavan Naik,IUZYS4728X,740170695850,86d99764dbeb5940dcbd45a29a935c28ab4e741902c4ec9469f412c544782d71,ICICI42988470817,ICICI,Coimbatore,Tamil Nadu,Manufacturer,0,NONE,,False,VERIFIED
Sanjay Verma,AOKNE7765W,551847274182,fba0b0d8a3426d54206970c1972ea283a8c43713fc8eff101af05e7a48f1d3fc,ICICI30211150729,ICICI,Kochi,Kerala,Teacher,0,NONE,,False,VERIFIED
Shobha Das,PQMKF8531R,698470737486,5a583c8ee012f676cb8f6e63504b8711539373ec0e6a5347f6b56f90a27e1ded,ICICI45418530000,ICICI,Kanpur,Uttar Pradesh,Farmer,0,NONE,,False,VERIFIED
Naveen Tiwari,JWGWW9011K,484312829345,4d81f511261dc053c631cdc2299e2eb8f4c8a275ca48d36dfe84c77916dfa752,ICICI87832856621,ICICI,Patna,Bihar,Farmer,0,NONE,,False,VERIFIED
Girish Srivastava,LYZEJ1689J,885787089052,d0a5ceb54bdb251827014e26e7d87b566b0712838015ae7d18cece0d3c8ab1e9,ICICI77634303842,ICICI,Bangalore,Karnataka,Teacher,0,NONE,,False,VERIFIED
