name,pan,aadhaar,sovereign_hash,account_number,bank,city,state,sector,risk_score,flags,crime_type,is_criminal,kyc_status
Madhan Sharma,AWKDN3165P,349412308447,ca3a7c6a9c4d980cc74619abecd5f2b0890b8438cc7713a13ad34fbcd8105601,PNB58590474603,PNB,Nagpur,Maharashtra,Small Business,0,NONE,,False,VERIFIED
Nisha Ghosh,VECQS1138T,283180441986,7bd69354533e2168ec77ff6a3a033371374855b159c34a7bde170bb9d743117b,PNB69785490020,PNB,Bhopal,Madhya Pradesh,Student,0,NONE,,False,VERIFIED
Radha Nair,DEYDS7291L,572288556961,cb6d34d712fb077b5c879e1d8483ef47358784d561623717822fd64bdf69c15d,PNB21358558876,PNB,Surat,Gujarat,Student,0,NONE,,False,VERIFIED
Pavan Mukherjee,TJYWA5942G,767943646448,14f90b974827a969d42cc2abc8051b32ef5b79e3d92e31785b6d5487fc10a27a,PNB17070245344,PNB,Kochi,Kerala,Doctor,0,NONE,,False,VERIFIED
Sanjay Pandey,PUTCQ1197L,451903525746,fbeff4b4c83de8b18a0165011714a09952da5a48e111d6b98409a336cf5fe7cf,PNB84583878615,PNB,Hyderabad,Telangana,Manufacturer,0,NONE,,False,VERIFIED
Arjun Tiwari,CASCA5295G,537181671620,72f2b1feb1d51ec4462803f4ca2f89b61a514c6903e3eac24ad5f82d07f99265,PNB20317702941,PNB,Kochi,Kerala,Retailer,0,NONE,,False,VERIFIED
Tarun Mehta,ICJCQ4329Z,689077859249,a63fdb2b9c0bd1b757dc4fcb7451b18b98d60bed6a9cd78fa9df386251164da9,PNB68835364916,PNB,Surat,Gujarat,Small Business,0,NONE,,False,VERIFIED
Pooja Gowda,DOTTB6067V,824740055098,cbf925b8014b6d81f2c061f3e342b0a3ee0ad054edb180ea4288a2ff16f55802,PNB13012917912,PNB,Bhubaneswar,Odisha,Salaried,0,NONE,,False,VERIFIED
Vishal More,ZXIFL3079X,904313219037,bbf8cbbca493cf2b2668765094bbaa0aa9e48f8174a606e13f90f786fbafa6b6,PNB69301076669,PNB,Chennai,Tamil Nadu,Salaried,0,NONE,,False,VERIFIED
Kamala Roy,SUCPO9368L,645698955756,9a7ad3fc21ba5941ba0853a5deae50052abdfea110a941e80adfa26d2eaead00,PNB26206324472,PNB,Visakhapatnam,Andhra Pradesh,Trader,0,NONE,,False,VERIFIED
Sanjay Mishra,XQABA5006B,501458172019,997e3c2973a25eaa38acfca9dbf0576c5833698f18f05d7a41582506307fe52d,PNB99080481427,PNB,Nagpur,Maharashtra,Trader,0,NONE,,False,VERIFIED
Padma Shetty,XKICS7108D,840890624327,67caecebbafa1427869c480f9a2601b4f069227798451f0913d5c15fef48bb37,PNB65637347400,PNB,Delhi,Delhi,Retailer,0,NONE,,False,VERIFIED
Prakash Tiwari,JKCRO1130L,418689455961,886cb694e3d0f98864f71d0f4c85ebfa359112a130fb32377074b99c39eca709,PNB59237190210,PNB,Visakhapatnam,Andhra Pradesh,Manufacturer,0,NONE,,False,VERIFIED
Geeta Mukherjee,RYZHE1104N,353505764245,bfebecde514c23d0d89ea7a9ebc0296912acaa758fedbd96de6d229102443d81,PNB64362706081,PNB,Patna,Bihar,Salaried,0,NONE,,False,VERIFIED
Archana Pandey,NPBEW5584C,674862063406,8f5149720cccac4d20e3a7ade027290dff1c67a6e03aad2c5de2cabf8339ca84,PNB87674064446,PNB,Indore,Madhya Pradesh,IT Professional,0,NONE,,False,VERIFIED
Girish Reddy,SSBNV3141H,384720580530,bbdab222cdcead2aa2398679f8d66c162facb47997dffd9be1e484be97c57c4d,PNB71495589642,PNB,Surat,Gujarat,Doctor,0,NONE,,False,VERIFIED
Geeta Gupta,YYSDE2731F,613031982692,b75d7b68fe2f36ea5589fb8321ce177be5313374752a4440007efd23d27a2215,PNB71021332936,PNB,Surat,Gujarat,Retailer,0,NONE,,False,VERIFIED
Lakshmi Nair,FZVJW1660G,260321653017,ab8fd391a1ab0b5be0631f0b6e448cf6defc71c1d773160bc67ad43bdc685475,PNB16500259808,PNB,Bangalore,Karnataka,IT Professional,0,NONE,,False,VERIFIED
Ajay Patel,MORXR5093D,213653610350,fd5567ca525115e3cacded6ae9edc003acb5f80870fec6b628b1100d9f86968e,PNB36331221463,PNB,Hyderabad,Telangana,Salaried,0,NONE,,False,VERIFIED
Manoj Kulkarni,SICAC4239U,990962753299,8a618fd2c9515970bf63064eead7c4487af484c098a74aa2ecee1d61769a8f9f,PNB16274925420,PNB,Hyderabad,Telangana,IT Professional,0,NONE,,False,VERIFIED
Girish Desai,AMVNF6799G,305764599825,4d58e8f9cb88d5c8af76968f6bf6ac0158e1fed9cabdacf47adda87ad6b51477,PNB94241946273,PNB,Jaipur,Rajasthan,Trader,0,NONE,,False,VERIFIED
Manjula Desai,NRPBC5583M,560150924878,e74f4a2747d2309871285bbf8ddf286bf69aa183282696ed0d1a45f306b70dff,PNB86459729700,PNB,Pune,Maharashtra,Retailer,0,NONE,,False,VERIFIED
Malathi Naik,RZPLS9231K,398020828313,cb70cbedf44d01f7748cd473ace0e9618d4c06c6506d3ee61fa69345ebf3c16c,PNB15501563917,PNB,Kolkata,West Bengal,Manufacturer,0,NONE,,False,VERIFIED
Suresh Mishra,FDHVH5366R,971089311843,f9de178277d8725691cb8e76000fd85c4991e33509bbf17322677efc33e91460,PNB35105032610,PNB,Bhubaneswar,Odisha,Student,0,NONE,,False,VERIFIED
Harish Shukla,XWLSA6761S,257039494081,c14dff95f35ef3458cef91028b17d0a7783b2eaf477112f15c7ca21a85d7f606,PNB75178520011,PNB,Visakhapatnam,Andhra Pradesh,Teacher,0,NONE,,False,VERIFIED
Saritha Deshpande,HAQPA6435T,985628545900,faae2314e9b862da8f5ca421f49f43ab28e33fcef8dcbfc1ce5dcd3f3a549e4d,PNB10255790920,PNB,Hyderabad,Telangana,Trader,0,NONE,,False,VERIFIED
Kiran Tiwari,DQLCL7481S,469801117324,4c13e0ee026b7a2dc4b24ac203498a88c4c2537d7e9e52a764afe67741a3a508,PNB99300283655,PNB,Lucknow,Uttar Pradesh,Trader,0,NONE,,False,VERIFIED
Ajay Roy,RWTZL4657V,995882719207,80cadc49af268e00f7fa4d7b08d69a98ce2bbc4560b14102c7dd97cab155c70d,PNB63999914244,PNB,Kolkata,West Bengal,Farmer,0,NONE,,False,VERIFIED
Keerthi Krishnamurthy,ZTHUS2705P,461381311530,7736792df38f06c229a221c49c734fa4d5edee64fc3b94ef3c6191adc7431dba,PNB96620416891,PNB,Bhubaneswar,Odisha,IT Professional,0,NONE,,False,VERIFIED
Ramesh Murthy,AIGHW2110L,964390763960,8d49456ae173e5c509997734c2ab0addb5a36d61157008a03f1fd46d701b0241,PNB76202708198,PNB,Chennai,Tamil Nadu,Salaried,0,NONE,,False,VERIFIED
Mohan Iyer,PZSUY4695F,179247676042,ea39bf2f9b802709065d7c609e7d392de5d6030f2a28bd016e9afa9ec96c65dc,PNB26972259616,PNB,Delhi,Delhi,IT Professional,0,NONE,,False,VERIFIED
Mohan Shah,XCRCK8909W,572579517352,982860cb72800135a6c04f22a88d9eb761126f52ee0b8b4dd32a84dd56f40071,PNB23114922049,PNB,Thiruvananthapuram,Kerala,Doctor,0,NONE,,False,VERIFIED
