name,pan,aadhaar,sovereign_hash,account_number,bank,city,state,sector,risk_score,flags,crime_type,is_criminal,kyc_status
Sanjay Patel,XIHHE2679V,196831611956,e7a55b7805e243627a96a5046122ae6aac7ee82f779225c1071b184c3f718e48,SBI41003814027,SBI,Visakhapatnam,Andhra Pradesh,Salaried,0,NONE,,False,VERIFIED
Vidya Verma,WUWRN4611O,407473554860,85e0a865dbddd8bcc0cfb98347d4015ab90de6c650c14e7cddf9f096df6436d6,SBI45821103222,SBI,Mumbai,Maharashtra,Trader,0,NONE,,False,VERIFIED
Vimala Iyer,CMDLL5333Z,899050535267,f0c8b08c6020e92ddb83b63f77e82f76b5093c115907c2226e553114d5b789f7,SBI51025702129,SBI,Bhopal,Madhya Pradesh,Doctor,0,NONE,,False,VERIFIED
Bhaskar Pawar,GWCBV4733Y,517045625552,b7e9b9e4c51d126bd2dcbc78436b4884d8a460667c45a2b77138828295f4c13d,SBI58834555400,SBI,Jaipur,Rajasthan,IT Professional,0,NONE,,False,VERIFIED
Anita Deshpande,UFRXH3677O,397982492151,f528bd565ac4324472ec890bdcc24d448c47c112e8b1da46113f5e9faa3f05e3,SBI17627861561,SBI,Thiruvananthapuram,Kerala,Student,0,NONE,,False,VERIFIED
Harish Kamath,ICGSW6155G,648275934229,27d26908876351239ed574a16d490673b167f8eb04a753bb529e8df4da4e57b1,SBI28317520862,SBI,Nagpur,Maharashtra,Teacher,0,NONE,,False,VERIFIED
Sachin Rao,XSNSM6930H,658939878788,07756d6da179316ba7ba2e7c852791349e975107dd6f2c9eef3791998a9ff786,SBI96555794399,SBI,Coimbatore,Tamil Nadu,Salaried,0,NONE,,False,VERIFIED
Pavan Reddy,MMTOQ5119R,847373620112,25fe05c8b454af6be6bcef4eac3cf1556d4c12754dbf4b3907478504c526aaeb,SBI99200452323,SBI,Bhubaneswar,Odisha,Retailer,0,NONE,,False,VERIFIED
Revathi Shah,OAXXI9201Y,654818085172,5ef6571b8f0fa3d2f69ad657c9aa8ce9b5ab900158e0f0c88db8c78a9030bd9c,SBI38385310919,SBI,Chennai,Tamil Nadu,Farmer,0,NONE,,False,VERIFIED
Rahul Jadhav,YQATK9005A,438472520493,bcbff5767819d8fd09a46e3365f39bac45f64ce32082e6c8c12feaa137e835b9,SBI86281205445,SBI,Ahmedabad,Gujarat,Manufacturer,0,NONE,,False,VERIFIED
Arjun Shinde,FIQTN4470R,902107756371,24723560099b985667824aa6bfad22f27ee854aaa2d3be514f9ba2f615461923,SBI60035845262,SBI,Guwahati,Assam,Farmer,0,NONE,,False,VERIFIED
Lakshmi Pandey,HCKAS4770S,105240793782,59d2d2ded17e86b431d447fc4c5af9c90c93aa37c69a3438d1c5638bd41e318a,SBI20009114172,SBI,Bangalore,Karnataka,Salaried,0,NONE,,False,VERIFIED
Nikhil Agarwal,REXSS8744H,623060957599,1e07422434bcbf00291b09614fbbf4d8c7bf89411d0b8c30b9138d4fc967899d,SBI67356271327,SBI,Indore,Madhya Pradesh,Small Business,0,NONE,,False,VERIFIED
Rohit Bose,UUDBM6559Z,219664972382,ce634332086ebf40f6cfeacb43741a67c91e7497da395cbb2c189e73a1ca1dd0,SBI66436653236,SBI,Ahmedabad,Gujarat,Retailer,0,NONE,,False,VERIFIED
Padma Reddy,OZRDB9856A,202946055043,39e5a34ca9ab62762125a8c5c3a133365e6db3b98ee87d2e6c88afe4e3738cb4,SBI76510322199,SBI,Noida,Uttar Pradesh,Trader,0,NONE,,False,VERIFIED
Deepa Shah,MAMIZ8454J,866320981994,1443dc0711c4015cae34f04c3823f2c24886483dfc85c0b568173b44a32e297e,SBI49470310796,SBI,Bhubaneswar,Odisha,Teacher,0,NONE,,False,VERIFIED
Smitha Singh,XKBBS8811Q,274079861243,5321f9f642d105623780e2320c4f77033fb4e6a699df3fc85dffa8e64e92561d,SBI91898675497,SBI,Delhi,Delhi,Small Business,0,NONE,,False,VERIFIED
Ganesh Kamath,DSHST1651T,559913616724,e1aad4c951d1c3a6ad7984beee2ea384816686b12fbb841aab0124556840d1e5,SBI48374271189,SBI,Chandigarh,Punjab,Retailer,0,NONE,,False,VERIFIED
Harish Pandey,IMEVU5915O,108901504899,c3b1677c9dd23f906b168e9730791f2d14a8012da162b0c2044010aa179adb2c,SBI38078925963,SBI,Bhopal,Madhya Pradesh,Small Business,0,NONE,,False,VERIFIED
Krishnan Reddy,HLJFO9900W,771314199398,65c31a36b9e8dfc5e10f81318564d4405b7a2a9bcd7904dc2fd405f561e6dd0c,SBI30951395781,SBI,Thiruvananthapuram,Kerala,Retailer,0,NONE,,False,VERIFIED
Meena Trivedi,REIJT4450W,324810959018,9cdf70fd0eed7c7b62c761f9be3758b08aa946f75875bcf585f4b2fbf10a6dee,SBI46457966688,SBI,Chandigarh,Punjab,Farmer,0,NONE,,False,VERIFIED
Satish Bajpai,IBAKY3143U,391971008994,8090f4045eac25efd9140611ea5f51d45672f9d388be7773b0e3524e201ffbf2,SBI12409076656,SBI,Kolkata,West Bengal,Retailer,0,NONE,,False,VERIFIED
Usha Jadhav,BLSRE8041E,435187102686,d076f247a187a5703b8612496cd630ee9d7381b42075b52980a2edc9e9d95ee1,SBI57686135491,SBI,Kanpur,Uttar Pradesh,Salaried,0,NONE,,False,VERIFIED
Usha Pandey,FZZFN1406F,960420184902,bc9c165a605f0e2cf1f982954eb651418f52f8dd1ee68f96fc6fac65ee8f71e3,SBI25896868772,SBI,Indore,Madhya Pradesh,Student,0,NONE,,False,VERIFIED
Arjun Mishra,GOLJZ4728H,821656143707,cd1f0967376b2d4b45fe5029fafb8cbceec095e51ab85a805fb399ceeebc6b73,SBI58443472984,SBI,Pune,Maharashtra,Farmer,0,NONE,,False,VERIFIED
Sachin Venkataraman,ADIFS5349B,753300614396,a2d0078fa197b4b7657d5f3fdaafd3c92e15bdc735b0b301f8b63c78d7203d5c,SBI25081447213,SBI,Indore,Madhya Pradesh,IT Professional,0,NONE,,False,VERIFIED
Sunil Kumar,WNAQZ9821V,910640502954,f984ef1c3b9d69d69b4b058bdacdfef277a1d5871caee87a4c999d3c389b8fbe,SBI56904353669,SBI,Chandigarh,Punjab,Doctor,0,NONE,,False,VERIFIED
Lakshmi Mukherjee,JQJVN6344M,425117034534,e85185a437b04e059d00399a89759e1a3dc05e544cf119fa027b3ab069e87791,SBI35352356774,SBI,Patna,Bihar,Doctor,0,NONE,,False,VERIFIED
Hema Shinde,AJJGN6279O,587228760932,1e14b36a3edee3fb0dc55be6bc74477ae121ff59d77de5ce7ae5098442f3fe5f,SBI21419677016,SBI,Chandigarh,Punjab,Teacher,0,NONE,,False,VERIFIED
Pavithra Venkataraman,CYHVJ4680Z,259769046504,9ade4f5a4c460b02a0eeb3436e07bef5f7e3d8f0f5866e853f29e13b3c8e5db6,SBI67790572388,SBI,Mumbai,Maharashtra,Teacher,0,NONE,,False,VERIFIED
Chitra Desai,MHEUW1090Y,949804121401,7fa16db77d7b8e4847226f9eb647515beb58862a6752d38e6fef939eb37f8a33,SBI81708395052,SBI,Chennai,Tamil Nadu,Student,0,NONE,,False,VERIFIED
Padma Pillai,OEZOV9702R,450449799205,612ece1859726f0f374230ec2d3a410c497ef9dabe9ac135fe5bfeef9e8d64b3,SBI86909355449,SBI,Noida,Uttar Pradesh,Manufacturer,0,NONE,,False,VERIFIED
Arjun Murthy,IYHUI9540P,364684869097,1e0f0ca99ba873d47226d300df0ee4dc9f2f05d16962e1bfa650febcc04bfd06,SBI54116680473,SBI,Jaipur,Rajasthan,Farmer,0,NONE,,False,VERIFIED
Nisha Mehta,HMWEW4505C,548458442836,6b2aedad14174dc3f692d9fd4d1b51f1928c883a0182432b58c8b25848298db5,SBI63344110239,SBI,Surat,Gujarat,Doctor,0,NONE,,False,VERIFIED
Sowmya Hegde,PALJY7389N,922650393259,ac3470a156a1619346628a5d08f0c1037076d27a82020b00d15f2606942caf17,SBI42161700729,SBI,Bhubaneswar,Odisha,Manufacturer,0,NONE,,False,VERIFIED
Sunita Hegde,KVVZM3704O,241388354666,86fd934b9faeef193a01075315b14957e01b3b091d6a1ac785d652d698c401da,SBI96259897505,SBI,Vadodara,Gujarat,Doctor,0,NONE,,False,VERIFIED
Divya Joshi,BIMKG8449K,934673209247,7bc178085aefd0a72747b3e2d8e5bfce7191e840d1975eeb2a95f880aa7e9d48,SBI22175849680,SBI,Nagpur,Maharashtra,Doctor,0,NONE,,False,VERIFIED
Smitha Singh,LHUCY1659Y,320105405793,daefb2d50c063965b432288cece992f55ab25b769f867ae0f00de74ddfae1aaf,SBI87800710257,SBI,Mumbai,Maharashtra,Student,0,NONE,,False,VERIFIED
Sunil Tiwari,LFTTX2876Y,279612530880,0ba4afcbd0cacca5bed52ce553abf44471ff3d210041395c2772a1a13e3c86ce,SBI63151538665,SBI,Lucknow,Uttar Pradesh,Salaried,0,NONE,,False,VERIFIED
Padma Iyer,WYJVT2983Z,722700869939,3cb73fb30f4b66994a2803640c4563d34f508b0ecd9d2a324c2402c58567f0aa,SBI79015643657,SBI,Delhi,Delhi,Doctor,0,NONE,,False,VERIFIED
Nalini Srivastava,PDNLU8532W,577398461838,62dcc245931c40568617afa2aaf5e35030147068dc49df06b8f4c42149e990c8,SBI67831192507,SBI,Kolkata,West Bengal,Farmer,0,NONE,,False,VERIFIED
Padma Bajpai,CIOHY8613S,837060762325,13ec5fc8939b87454300513d0a365e20163b940414a49e1394fabdbef21cd43c,SBI75205505671,SBI,Nagpur,Maharashtra,Teacher,0,NONE,,False,VERIFIED
Kamala Venkataraman,ITWIR1166Q,310230327999,cf9b1d42705e3bee214b54904cbdae614fa5f1f6f8c7b24255c16d715fe2bc27,SBI97944150250,SBI,Bangalore,Karnataka,Doctor,0,NONE,,False,VERIFIED
Amit Nair,JHMWH6016V,506224688058,7b3698e8d7a44f95eef4ea716aa9a2818a6f2d39651d59acf5da4d24166848e9,SBI55313573453,SBI,Coimbatore,Tamil Nadu,IT Professional,0,NONE,,False,VERIFIED
Venkat Menon,IHDXG6169D,691601169418,44d9ab7c2709c94c46d6bf4202fc55897311f9ee6037c5fc4f0a55b8c66e6139,SBI77596792264,SBI,Noida,Uttar Pradesh,Student,0,NONE,,False,VERIFIED
Archana Deshpande,JDGJH6912F,114183131325,f21618f273bc2e3d30dffac4ce6aa847f6d1a5ff464eea391f960f26727b7204,SBI18479532170,SBI,Guwahati,Assam,Farmer,0,NONE,,False,VERIFIED
Ravi Banerjee,YPDAS5658P,583092399018,8b440d5600d661e88d6bb634203484caa1c76bff3156b3f4b77550dca7663149,SBI24936733140,SBI,Surat,Gujarat,Salaried,0,NONE,,False,VERIFIED
Anita Pawar,UVBEE5978C,374851785492,7864703ade36de52f21aa4bad9579c7fcd963ac408476e86fc99939dd11aa28f,SBI82051055121,SBI,Chennai,Tamil Nadu,Doctor,0,NONE,,False,VERIFIED
Madhan Menon,SNJST1986T,915872454727,f0d045787fc2acf7884731114faa9e2098052f6039cc3ed960829d9146646965,SBI31823534004,SBI,Chennai,Tamil Nadu,Student,0,NONE,,False,VERIFIED
Anita Shah,ANOWT8699J,353543257595,04c1a7eab45704c3da581aed1315e31a8e43a17427cd40d599231d47f2500d57,SBI43017066829,SBI,Lucknow,Uttar Pradesh,Teacher,0,NONE,,False,VERIFIED
Geeta Gowda,DRHUE5352E,164731212366,f7085e753da9aedeb2565378cf9a7d5fb5d9e7bc249c613ef3431bf0630d7624,SBI24771051606,SBI,Kolkata,West Bengal,Manufacturer,0,NONE,,False,VERIFIED
Hema Naidu,QRPOC1653N,455342117469,fc414f48a7267d18697022a61cbd8cb1645fb05b02e4346a4a6dee58f660aa2f,SBI89779872685,SBI,Vadodara,Gujarat,Small Business,0,NONE,,False,VERIFIED
Venkat Pawar,BEYWV2584C,480826766533,688a58a8b654587b26ecad41380ddcd206922e06cb375afa6ba430e1a43aa305,SBI83991603888,SBI,Patna,Bihar,Trading,93,SHARED_IP,MULE_FARM,True,VERIFIED
Nalini Jadhav,VPSHP5896C,885351691457,564fd3500d48d508dea6831b0043c38d3e07e8cabb09d7d548d58c18197e1fba,SBI95825278204,SBI,Delhi,Delhi,Technology Services,92,SHARED_IP,MULE_FARM,True,VERIFIED
Ajay Shah,GZGEB7936C,851568939491,8d201f21fbb4abc5c47ec68d7333653d15c4b9ce68174e09c6e6793c6c1a56e5,SBI95186845724,SBI,Indore,Madhya Pradesh,Financial Advisory,96,SHARED_IP,MULE_FARM,True,VERIFIED
Prasad Trivedi,PYQLB9442Z,169402258203,ae8a40a97fd4536dd13e024dfa78cc1ac2090dd5e251b7dc29b9f2fc8d13697d,SBI12442428958,SBI,Lucknow,Uttar Pradesh,Logistics,98,SHARED_IP,MULE_FARM,True,VERIFIED
Pooja Mishra,LHXJN6428L,741069220481,df767abf3b9e3943a5885ddce6ee0d7b7cbd5a503eedfbf98f3db5e289994c9e,SBI90034124591,SBI,Lucknow,Uttar Pradesh,Consulting,99,DECEASED,GHOST_ID,True,COMPROMISED
Hema Patel,HHXEG1359S,286850978360,16c54279c1efe79e3e9d37a1f73a2f62ba0d79bd4f5ba86f1ebe081052703706,SBI61700082247,SBI,Chennai,Tamil Nadu,Financial Advisory,99,DECEASED,GHOST_ID,True,COMPROMISED
